customer_id,tenure_months,avg_monthly_spend,transactions_30d,transactions_90d,max_gap_days,is_high_risk_segment,card_type,churned
1,48,594.0508289786765,1,3,51,1,basic,1
2,5,77.83607955224686,1,7,60,0,basic,1
3,26,54.21355065996095,4,7,16,1,basic,0
4,55,245.81293863206915,1,1,6,1,gold,0
5,4,241.0487137271759,1,4,5,0,basic,0
6,20,347.6939220973534,1,4,50,0,basic,0
7,24,709.711981109672,2,4,30,0,gold,0
8,40,418.6513046770858,2,4,5,0,gold,0
9,29,429.2947680392534,0,2,63,1,gold,0
10,58,475.1407092239643,3,5,38,0,basic,0
11,15,135.31005420091776,2,4,82,1,platinum,1
12,24,251.30995532385754,3,4,47,0,gold,1
13,9,257.35760943973327,1,3,63,0,platinum,1
14,26,95.33608071359964,0,1,29,1,basic,0
15,47,359.42706106213194,1,4,78,1,basic,1
16,43,958.8612808584966,2,7,20,0,basic,1
17,27,47.173633092262854,1,4,53,0,gold,1
18,9,239.3118104855835,6,7,86,0,gold,1
19,40,116.5421081963288,0,1,36,0,basic,0
20,39,188.29397374778404,1,2,8,0,gold,0
21,5,251.75696805823628,4,6,9,0,platinum,0
22,49,568.9330149379371,0,5,68,0,basic,0
23,8,250.14484284636694,3,4,4,1,basic,1
24,45,252.35023270045036,0,3,36,0,basic,1
25,1,513.7093690586539,4,7,10,1,basic,1
26,12,272.8815021367096,1,1,16,0,basic,1
27,56,308.58276656984185,1,4,45,1,basic,1
28,59,87.43395067594895,1,8,61,0,basic,0
29,7,388.27348999358577,3,4,25,0,basic,1
30,20,151.99802372392332,1,3,33,1,basic,1
31,45,428.25276956565006,3,6,32,0,basic,0
32,6,281.7804953140062,3,9,58,1,basic,0
33,57,54.38231428686237,4,8,18,1,basic,1
34,25,182.95816444907487,2,7,75,1,gold,0
35,56,799.4909389678883,4,8,77,1,basic,0
36,54,883.8263671293387,0,3,27,0,basic,0
37,49,295.5407136305347,3,6,6,0,basic,0
38,1,958.6512195078891,1,1,52,1,basic,0
39,35,142.72593631370066,5,9,51,0,basic,1
40,57,114.05796012400087,4,4,48,0,gold,0
41,10,463.42596960030704,0,1,63,1,basic,1
42,15,506.51790548464766,1,4,54,0,basic,1
43,39,331.47847329737584,3,6,24,0,basic,0
44,5,252.84576372471773,1,2,81,0,platinum,1
45,47,217.26619414140288,1,3,4,1,basic,0
46,10,77.19431025956226,3,4,38,1,basic,1
47,24,597.8012387374459,2,10,46,1,basic,1
48,36,665.4691735910586,0,5,24,0,basic,0
49,4,255.5847802451599,0,0,6,0,basic,0
50,9,108.18143091572401,6,11,52,0,basic,0
51,20,344.53995879966556,0,2,28,0,platinum,1
52,49,66.20090576092863,0,2,65,0,basic,1
53,2,110.55770521600607,2,4,20,1,basic,1
54,1,787.7733135980569,5,9,21,1,gold,1
55,17,524.5808713548919,3,9,11,0,basic,0
